date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:32:16	78315/78315	---M--	200	added ('OK')	text/html	etag:%22131eb-5b7bedaf96540%22	http://108-2.dday.dschool.ntu.edu.tw/mon.html	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/mon.html	(from http://108-2.dday.dschool.ntu.edu.tw/)
19:32:18	96276/96276	---M--	200	added ('OK')	text/html	etag:%2217814-5b7bedadae0c0%22	http://108-2.dday.dschool.ntu.edu.tw/2011421205353733533620154222402252230990.html	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/2011421205353733533620154222402252230990.html	(from http://108-2.dday.dschool.ntu.edu.tw/)
19:32:20	80891/80891	---M--	200	added ('OK')	text/html	etag:%2213bfb-5b7fe2f32fc40%22	http://108-2.dday.dschool.ntu.edu.tw/25991212702594420107332873549825925201072431427083.html	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/25991212702594420107332873549825925201072431427083.html	(from http://108-2.dday.dschool.ntu.edu.tw/)
19:32:22	64362/64362	---M--	200	added ('OK')	text/html	etag:%22fb6a-5b7bedaea2300%22	http://108-2.dday.dschool.ntu.edu.tw/320683234036939203162356635542.html	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/320683234036939203162356635542.html	(from http://108-2.dday.dschool.ntu.edu.tw/)
19:32:24	133760/133760	---M--	200	added ('OK')	text/html	etag:%2220a80-5b7fe8e540340%22	http://108-2.dday.dschool.ntu.edu.tw/2110924847211092698923560389883534235542332872352636368.html	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/2110924847211092698923560389883534235542332872352636368.html	(from http://108-2.dday.dschool.ntu.edu.tw/)
19:32:26	93195/93195	---M--	200	added ('OK')	text/html	etag:%2216c0b-5b7fe0af5a440%22	http://108-2.dday.dschool.ntu.edu.tw/2110926032310382637135373353362403731243.html	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/2110926032310382637135373353362403731243.html	(from http://108-2.dday.dschool.ntu.edu.tw/)
19:32:28	76467/76467	---M--	200	added ('OK')	text/html	etag:%2212ab3-5b7fe5482fcc0%22	http://108-2.dday.dschool.ntu.edu.tw/352992777021839389882970235542332872352621209.html	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/352992777021839389882970235542332872352621209.html	(from http://108-2.dday.dschool.ntu.edu.tw/)
19:32:30	75518/75518	---M--	200	added ('OK')	text/html	etag:%22126fe-5b7bedaf96540%22	http://108-2.dday.dschool.ntu.edu.tw/tue.html	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/tue.html	(from http://108-2.dday.dschool.ntu.edu.tw/)
19:32:32	83720/83720	---M--	200	added ('OK')	text/html	etag:%2214708-5b7fe4e5012c0%22	http://108-2.dday.dschool.ntu.edu.tw/310382637135373353362356635542.html	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/310382637135373353362356635542.html	(from http://108-2.dday.dschool.ntu.edu.tw/)
19:32:34	86249/86249	---M--	200	added ('OK')	text/html	etag:%22150e9-5b7fe2d6938c0%22	http://108-2.dday.dschool.ntu.edu.tw/246053277126410203588203.html	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/246053277126410203588203.html	(from http://108-2.dday.dschool.ntu.edu.tw/)
19:32:36	89096/89096	---M--	200	added ('OK')	text/html	etag:%2215c08-5b7fe6a817b00%22	http://108-2.dday.dschool.ntu.edu.tw/353733533624605327712594532244201542516522521329463550631243.html	/Users/juan/websites/108-2.dday.dschool.ntu.edu.tw/108-2.dday.dschool.ntu.edu.tw/353733533624605327712594532244201542516522521329463550631243.html	(from http://108-2.dday.dschool.ntu.edu.tw/)
